sitten,then,_ menimme elokuviin katsomaan uutta elokuvaa.,Sitten
muuta,other,En tarvitse mitään _ kiitos.,muuta
tilata,to order,Me _ pizzaa päivällinen tänään.,tilaamme
sopii,suitable,Tämä paita _ täydellisesti sinulle.,sopii
ilman,free/without,Tämä sovellus toimii _ internet-yhteyttä.,ilman
kuppi,cup,Join _ teetä.,kupillisen
tarvita,to need,Me _ uuden pöydän olohuoneeseen.,tarvitsemme
tykätä,to like,Minä _ suklaasta ja mansikoista.,tykkään
joskus,sometimes,Käyn _ kuntosalilla ennen töitä.,joskus
koskaan,ever,En ole _ nähnyt mitään tällaista.,koskaan
-
kallis,expensive,Tämä auto on aivan liian _ meille.,kallis
sian,piggy,Lapset haluavat ostaa _ säästöpossun.,sian
karkkia,candy,Voitko saada vähän _ kiitos?,karkkia
para,the best,Tämä on kaupungin _ kahvila.,paras
hadelmä,fruit,Banaani on yksi suosikkini _.,hedelmistä
tumma,dark,Hänellä on _ tukka ja siniset silmät.,tumma
vaale,light,Tämä leipä on liian _ minun makuuni.,vaalea
asiakas,customer,_ odotti kärsivällisesti kassalla.,Asiakas
tuli,fire,_ paloi kirkkaasti yössä.,Leiritulen
työ,work,Minulla on paljon _ tehtävänä tänään.,työtä
kuulla,to hear,_ että sinulla on uusi työpaikka!,Kuulin
unohtaa,to forget,_ puhelimeni kotiin.,Unohdin
-
retki,excursion,Lähdimme koulun kanssa _ metsään.,retkelle
korjata,to fix,Hän _ polkupyöränsä takarengasta.,korjaa
kuntosali,gym,Käyn _ kolme kertaa viikossa.,kuntosalilla
pyöräillä,to bike,Tykkään _ rannalla kesäisin.,pyöräillä
kaveri,friend,Tapasimme vanhan _ kahvilassa.,kaverini
pelto,field,Näimme paljon hevosia _.,pellolla
hevone,horse,_ laukkasi vapaana pellolla.,Hevonen
ranta,beach,Kävimme _ katsomassa auringonlaskua.,rannalla
ihana,wonderful,Tämä on todella _ paikka rentoutua.,ihana
paikka,place,Etsimme hyvää _ piknikille.,paikkaa
juosta,to run,Hän _ puistossa joka aamu.,juoksee
tulla,to come,Vieraat _ kello viideltä.,tulevat
-
vaikka,although,_ satoi päätimme mennä ulos.,Vaikka
kutsua,to invite,Aion _ ystäväni illalliselle.,kutsua
värmä,sure,Olen _ että kaikki menee hyvin.,varma
tentti,exam,Valmistauduin _ koko viikon ajan.,tenttiin
pelata,to play,Me _ jalkapalloa joka lauantai.,pelaamme
ajatella,to think,_ usein lapsuuttani kesällä.,Ajattelen
kävellä,to walk,Hän _ kouluun joka päivä.,kävelee
vielä,yet,Meillä ei ole _ tarpeeksi tietoa.,vielä
päästä,to get,Miten voimme _ kotiin ilman autoa?,päästä
